«H¥ô - §Ú¬Û«H¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¬O¥i¥H«H¿àªº(trustworthy)¡C,«H¥ô - §Ú¬Û«H¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¬O¥i¾aªº(reliable)¡C,«H¥ô - ¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¥i¥H³Q«H¥ô¡A¨S¦³¤Ó¦h¤£½T©w©Ê¡C,®Ä¯à´Á±æ - Bot Sync±N«K§Q¦UºØ¸ê°Tªº¨Ï¥Î¡C,®Ä¯à´Á±æ - Bot Sync±N´£¨Ñ¦³§U©ó¨Mµ¦ªº¸ê°T¡C,®Ä¯à´Á±æ - Bot Sync±N¦³§U©ó´£¤ÉºÞ²zÁZ®Ä¡C,§V¤O´Á±æ - §ÚÄ@·N¹Á¸Õ±Ä¥Î(¹ê¬I)Bot Sync¡C,§V¤O´Á±æ - §ÚÄ@·N¾Ç²ß±Ä¥Î(¹ê¬I)Bot Sync¡C,§V¤O´Á±æ - §ÚÄ@·N±µ¨ü°ö°V¥H±Ä¥Î(¹ê¬I)Bot Sync¡C,ªÀ·|¼vÅT - Bot Syncªº¨Ï¥Î¡A¯à´£¤É¦Û§Ú§Î¶H©ÎªÀ·|¦a¦ì¡C,ªÀ·|¼vÅT - ·|¦]¬°¹ï¦Û¤v­«­nªº¤H±ÀÂË¡A¨Ï¥ÎBot Sync¡C,ªÀ·|¼vÅT - ¦b²{¤µªÀ·|Àô¹Ò¤¤¡ABot Syncªº¨Ï¥Î©úÅã¼W¥[¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¨ã³Æ¹ê¬IBot Sync©Ò»Ýªºª¾ÃÑ¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¨ã³Æ¹ê¬IBot Sync©Ò»Ýªº¸ê·½¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¤w¸g·Ç³Æ¦n¹ê¬IBot Sync¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¾Ö¦³¾A¦XBot Syncªº§Þ³NÀô¹Ò¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¦³¯à¤O¹ê¬IBot Sync¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¯à°÷¾Ç²ß¨Ï¥ÎBot Sync¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°ºÞ²z¼h¹ï±Ä¥ÎBot Sync«Ü·P¿³½ì¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°ºÞ²z¼h·Pª¾±Ä¥ÎBot Sync¬O¥²­nªº¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¾Ö¦³¾A·íªº¤H¤O¸ê·½¨Ó±Ä¥Î¡]¹ê¬I¡^Bot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú­Ìªº°Ó·~¹Ù¦ñ·|Ä@·N±Ä¥ÎBot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú­Ìªº°Ó·~¹Ù¦ñ·|­n¨D±Ä¥ÎBot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°¦pªG¤£±Ä¥ÎBot Sync¡A§Úªº¤½¥q±N­±Á{Ävª§¦H¶Õ¡C,Àô¹Ò­I´º - §Ú»{¬°±Ä¥ÎBot Sync±N¼W¥[¶W¶VÄvª§¹ï¤âªº¯à¤O¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú©Ò¦bªº¦æ·~§O·|Ä@·N±Ä¥ÎBot Sync¡C,ºA«× - ±Ä¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡A¬O¤@­Ó¦n¥D·N¡C,ºA«× - ±Ä¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡A¬O¤@­Ó©ú´¼ªº·Qªk¡C,ºA«× - §ÚÄ@·N¨Ï¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¡A°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡C,¨Ï¥Î·N¦V - §Ú¥´ºâ¦b¥¼¨Ó¨Ï¥ÎBot Sync¡C,¨Ï¥Î·N¦V - §Ú·|±ÀÂË¨ä¥L¤H¨Ï¥ÎBot Sync¡C,¨Ï¥Î·N¦V - ±N¨Ó§Ú·|¸g±`¨Ï¥ÎBot Sync¡C,©Ê§O,¦~ÄÖ,±Ð¨|µ{«×,¤½¥q­û¤u¼Æ,¸ê°T­I´º½Õ¬d,Â¾¯Å½Õ¬d,¤u§@¦~¸ê,¶ñµª®É¶¡,¶ñµª¬í¼Æ,SAME,Short
3,3,3,4,4,4,4,4,4,4,4,3,2,2,2,2,2,4,4,3,3,2,2,2,2,3,4,4,4,4,4,3,2,2,2,2,1,1,3,2023/9/19 21:41,200,not,True
4,3,2,4,2,2,4,4,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,2,1,2,1,2,1,2,2023/9/19 22:47,303,not,True
4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,1,2,3,3,1,2,3,2023/9/20 06:33,441,not,True
3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,1,3,2,2,2,1,2,2023/9/20 07:04,302,not,True
4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,3,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,1,3,2,1,1,1,3,2023/9/20 07:18,397,not,True
3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,4,1,3,2,4,2,1,5,2023/9/20 07:33,319,not,True
3,4,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,2,2,3,3,3,4,3,3,3,1,2,3,2,2,1,3,2023/9/20 07:35,358,not,True
3,4,2,4,3,3,4,4,4,3,3,4,2,2,2,2,3,3,4,3,2,4,4,3,4,3,4,4,3,4,3,4,1,3,2,2,2,2,4,2023/9/20 07:42,398,not,True
3,3,2,4,4,3,3,2,3,2,2,2,2,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,4,2,2,1,3,3,2,2,1,4,2023/9/20 07:55,482,not,True
4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,2,2,2,3,2023/9/20 08:04,95,not,True
4,4,3,4,4,4,5,5,5,4,4,4,4,2,2,2,5,5,4,4,5,4,4,4,4,4,5,5,5,5,5,5,2,1,2,4,2,1,2,2023/9/20 08:18,190,not,True
3,4,3,4,2,4,3,2,3,2,2,3,2,2,1,3,2,2,4,2,3,2,2,2,3,2,4,4,3,3,2,2,1,3,2,5,1,1,2,2023/9/20 08:21,369,not,True
4,4,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,1,2,2,2,2,1,3,2023/9/20 08:33,202,not,True
4,4,4,4,4,4,4,3,3,3,3,4,3,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,3,3,3,3,1,4,3,2,2,3,5,2023/9/20 09:15,165,not,True
5,4,5,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,3,2,5,2,1,3,2023/9/20 09:29,339,not,True
4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,3,3,3,2,2,3,2,4,4,4,4,4,4,4,4,4,2,1,2,5,2,1,2,2023/9/20 09:34,202,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,4,2,1,3,2023/9/20 09:45,122,not,True
2,2,2,4,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,2,2,3,4,2,4,4,4,3,4,4,4,3,2,2,2,1,1,2,2,2023/9/20 10:21,522,not,True
4,4,3,4,4,3,4,4,4,3,3,4,2,2,2,2,2,3,3,4,2,4,2,3,4,3,4,4,4,4,4,4,1,2,2,5,1,1,2,2023/9/20 11:55,440,not,True
3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,4,4,4,1,2,2,3,1,3,2,2023/9/20 11:58,107,not,True
4,4,4,4,3,3,4,3,3,3,4,3,2,2,1,2,2,1,1,4,1,1,1,2,2,1,4,3,4,3,3,3,1,2,3,5,1,1,2,2023/9/20 12:12,139,not,True
3,3,2,4,3,4,4,3,3,2,3,3,1,3,1,3,3,4,4,3,3,4,4,3,3,3,4,3,3,3,3,3,2,2,3,4,2,1,1,2023/9/20 12:30,455,not,True
4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2,2,2,4,1,1,2,2023/9/20 12:58,98,not,True
4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,2,2,5,1,1,2,2023/9/20 12:59,132,not,True
4,4,4,4,3,4,4,5,5,4,4,4,4,4,3,3,4,4,3,3,4,3,3,2,4,3,5,5,5,4,4,4,2,2,2,2,2,1,2,2023/9/20 13:08,499,not,True
4,4,4,4,5,5,5,5,5,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,4,4,5,5,5,4,4,4,1,2,3,2,2,2,2,2023/9/20 14:19,327,not,True
